column,description,,,,,,,
score,"witner survival score where 1=no damage, 5=dead plant",,,,,,,
cover,"percent alfalfa coverage over whole plot, visual assessment",,,,,,,
stems,stem density. Number of stems per square foot,,,,,,,
notes,averaged 3-4 plants per sq ft. Measurement taken on sq ft basis. We could find a handful of dead alfalfa plants in most plots. Stem density measurements varied dramatically. About 1 healthy plant had around 20 stems.  We want around 55+ stems per sq ft for a healthy stand. Score is probably best metric,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
year,date,site,plot,variety,schedule,score,cover,stems
2025,,Rosemount,1101,HX4,45 day,,,
2025,,Rosemount,1102,RR3,45 day,,,
2025,,Rosemount,1103,HX5,45 day,,,
2025,,Rosemount,1104,RR4,45 day,,,
2025,,Rosemount,1105,RR5,45 day,,,
2025,,Rosemount,1106,HX3,45 day,,,
2025,,Rosemount,1107,RR4,35 day,,,
2025,,Rosemount,1108,HX5,35 day,,,
2025,,Rosemount,1109,HX4,35 day,,,
2025,,Rosemount,1110,RR3,35 day,,,
2025,,Rosemount,1111,RR5,35 day,,,
2025,,Rosemount,1112,HX3,35 day,,,
2025,,Rosemount,1201,RR5,45 day,,,
2025,,Rosemount,1202,RR4,45 day,,,
2025,,Rosemount,1203,RR3,45 day,,,
2025,,Rosemount,1204,HX4,45 day,,,
2025,,Rosemount,1205,HX5,45 day,,,
2025,,Rosemount,1206,HX3,45 day,,,
2025,,Rosemount,1207,HX5,35 day,,,
2025,,Rosemount,1208,RR5,35 day,,,
2025,,Rosemount,1209,HX3,35 day,,,
2025,,Rosemount,1210,HX4,35 day,,,
2025,,Rosemount,1211,RR3,35 day,,,
2025,,Rosemount,1212,RR4,35 day,,,
2025,,Rosemount,1301,HX4,35 day,,,
2025,,Rosemount,1302,RR3,35 day,,,
2025,,Rosemount,1303,RR5,35 day,,,
2025,,Rosemount,1304,HX3,35 day,,,
2025,,Rosemount,1305,HX5,35 day,,,
2025,,Rosemount,1306,RR4,35 day,,,
2025,,Rosemount,1307,RR3,45 day,,,
2025,,Rosemount,1308,HX4,45 day,,,
2025,,Rosemount,1309,HX3,45 day,,,
2025,,Rosemount,1310,RR4,45 day,,,
2025,,Rosemount,1311,RR5,45 day,,,
2025,,Rosemount,1312,HX5,45 day,,,
2025,,Rosemount,1401,HX4,45 day,,,
2025,,Rosemount,1402,HX5,45 day,,,
2025,,Rosemount,1403,RR4,45 day,,,
2025,,Rosemount,1404,RR3,45 day,,,
2025,,Rosemount,1405,HX3,45 day,,,
