"","Bottle Code","Year","Experiment","Location","Plot","Cut Trt","Var Trt","Cuts","Variety","Sample Timing","Sample Type","Harvest Point","Sample ID","Site","Paddock","Sample","Treatment","...9","...10","...11","Study","PlotNum","Main Treatment","SubPlot Treatment","...7","...8"
"1","220000","2022","RALLF","Rosemount","1101","2","2","4 cuts","HX4","~ May 24","Quadrat Sample",1,"220000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","220001","2022","RALLF","Rosemount","1102","2","4","4 cuts","RR3","~ May 24","Quadrat Sample",1,"220001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","220002","2022","RALLF","Rosemount","1103","2","3","4 cuts","HX5","~ May 24","Quadrat Sample",1,"220002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","220003","2022","RALLF","Rosemount","1104","2","5","4 cuts","RR4","~ May 24","Quadrat Sample",1,"220003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","220004","2022","RALLF","Rosemount","1105","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","220005","2022","RALLF","Rosemount","1106","2","1","4 cuts","HX3","~ May 24","Quadrat Sample",1,"220005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","220006","2022","RALLF","Rosemount","1107","1","5","5 cuts","RR4","~ May 24","Quadrat Sample",1,"220006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","220007","2022","RALLF","Rosemount","1108","1","3","5 cuts","HX5","~ May 24","Quadrat Sample",1,"220007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","220008","2022","RALLF","Rosemount","1109","1","2","5 cuts","HX4","~ May 24","Quadrat Sample",1,"220008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","220009","2022","RALLF","Rosemount","1110","1","4","5 cuts","RR3","~ May 24","Quadrat Sample",1,"220009",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","220010","2022","RALLF","Rosemount","1111","1","6","5 cuts","RR5","~ May 24","Quadrat Sample",1,"220010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","220011","2022","RALLF","Rosemount","1112","1","1","5 cuts","HX3","~ May 24","Quadrat Sample",1,"220011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","220012","2022","RALLF","Rosemount","1201","2","6","4 cuts","RR5","~ May 24","Quadrat Sample",1,"220012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
